status;duration;credit_history;purpose;amount;savings;employment_duration;installment_rate;personal_status_sex;other_debtors;present_residence;property;age;other_installment_plans;housing;number_credits;job;people_liable;telephone;foreign_worker;credit_risk
less than 0 DM;21;no credits taken or all credits paid back duly;car (used);3976;more than 1000 DM;4 between 7 yrs;25 between 35;male : married or widowed;none;4 between 7 yrs;building soc. savings agr. or life insurance;35;none;rent;1;skilled employee or official;0 to 2;yes;no;good
less than 0 DM;18;no credits taken or all credits paid back duly;others;6260;unknown or no savings account;4 between 7 yrs;20 between 25;male : married or widowed;none;4 between 7 yrs;unknown  or  no property;28;none;for free;1;unskilled - resident;0 to 2;no;no;good
less than 0 DM;9;all credits at this bank paid back duly;car (used);1919;unknown or no savings account;4 between 7 yrs; less than  20;male : married or widowed;none;4 between 7 yrs;building soc. savings agr. or life insurance;35;none;for free;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;24;no credits taken or all credits paid back duly;car (new);2603;500 between 1000 DM;1 between 4 yrs;25 between 35;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;28;none;for free;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;9;all credits at this bank paid back duly;repairs;936;between 100 and 500 DM; more than  7 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;52;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;24;no credits taken or all credits paid back duly;car (used);3062;between 100 and 500 DM; more than  7 yrs; less than  20;male : married or widowed;none;4 between 7 yrs;real estate;32;none;for free;1;skilled employee or official;0 to 2;yes;no;good
less than 0 DM;36;no credits taken or all credits paid back duly;furniture or equipment;4795;unknown or no savings account; less than  1 yr; less than  20;female : non-single or male : single;none; less than  1 yr;real estate;30;none;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;36;all credits at this bank paid back duly;car (new);5842;unknown or no savings account; more than  7 yrs;25 between 35;male : married or widowed;none;1 between 4 yrs;car or other;35;none;rent;3-Feb;skilled employee or official;3 or more;yes;no;good
less than 0 DM;6;no credits taken or all credits paid back duly;furniture or equipment;2063;unknown or no savings account; less than  1 yr; less than  20;female : single;none;4 between 7 yrs;building soc. savings agr. or life insurance;30;none;for free;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;15;all credits at this bank paid back duly;furniture or equipment;1459;unknown or no savings account;1 between 4 yrs; less than  20;female : non-single or male : single;none;1 between 4 yrs;building soc. savings agr. or life insurance;43;none;rent;1;unskilled - resident;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;15;no credits taken or all credits paid back duly;furniture or equipment;1213;between 100 and 500 DM; more than  7 yrs; less than  20;male : married or widowed;none;4 between 7 yrs;car or other;47;stores;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;24;all credits at this bank paid back duly;furniture or equipment;5103;unknown or no savings account; less than  1 yr;20 between 25;female : single;none;4 between 7 yrs;real estate;47;none;own;5-Apr;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;15;no credits taken or all credits paid back duly;radio or television;874;more than 1000 DM; less than  1 yr; less than  20;female : non-single or male : single;none; less than  1 yr;unknown  or  no property;24;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;6;no credits taken or all credits paid back duly;car (used);2978;between 100 and 500 DM;1 between 4 yrs; more than  35;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;32;none;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;18;no credits taken or all credits paid back duly;others;1820;unknown or no savings account;1 between 4 yrs;25 between 35;female : single;none;1 between 4 yrs;car or other;30;none;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;24;all credits at this bank paid back duly;furniture or equipment;2872;less than 100 DM; more than  7 yrs;20 between 25;male : married or widowed;none; more than  7 yrs;unknown  or  no property;36;none;rent;1;skilled employee or official;3 or more;yes;no;good
between 0 and 200 DM;24;no credits taken or all credits paid back duly;car (used);1925;unknown or no savings account;1 between 4 yrs;25 between 35;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;26;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;18;no credits taken or all credits paid back duly;car (used);2515;unknown or no savings account;1 between 4 yrs;20 between 25;male : married or widowed;none; more than  7 yrs;unknown  or  no property;43;none;rent;1;skilled employee or official;0 to 2;yes;no;good
between 0 and 200 DM;6;no credits taken or all credits paid back duly;car (used);2116;unknown or no savings account;1 between 4 yrs;25 between 35;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;41;none;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;18;no credits taken or all credits paid back duly;furniture or equipment;1453;unknown or no savings account; less than  1 yr;20 between 25;female : non-single or male : single;none; less than  1 yr;unknown  or  no property;26;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;10;no credits taken or all credits paid back duly;others;1364;unknown or no savings account;1 between 4 yrs;25 between 35;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;64;none;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;6;no credits taken or all credits paid back duly;car (used);1543;500 between 1000 DM;1 between 4 yrs; less than  20;male : divorced or separated;none;1 between 4 yrs;unknown  or  no property;33;none;rent;1;skilled employee or official;0 to 2;no;no;good
less than 0 DM;12;no credits taken or all credits paid back duly;others;1318;500 between 1000 DM; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;unknown  or  no property;54;none;rent;1;skilled employee or official;0 to 2;yes;no;good
no checking account;24;critical account or other credits elsewhere;others;2325;less than 100 DM;4 between 7 yrs;25 between 35;male : married or widowed;none;4 between 7 yrs;building soc. savings agr. or life insurance;32;bank;rent;1;skilled employee or official;0 to 2;no;no;good
less than 0 DM;6;all credits at this bank paid back duly;vacation;932;more than 1000 DM;4 between 7 yrs; more than  35;female : non-single or male : single;none;4 between 7 yrs;car or other;39;none;rent;3-Feb;unskilled - resident;0 to 2;no;no;good
between 0 and 200 DM;24;all credits at this bank paid back duly;furniture or equipment;3148;more than 1000 DM;1 between 4 yrs;20 between 25;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;31;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;36;no credits taken or all credits paid back duly;furniture or equipment;3835;more than 1000 DM; more than  7 yrs;25 between 35;female : non-single or male : single;none; more than  7 yrs;unknown  or  no property;45;none;rent;1;unskilled - resident;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;9;no credits taken or all credits paid back duly;repairs;3832;more than 1000 DM; more than  7 yrs; more than  35;male : married or widowed;none; more than  7 yrs;unknown  or  no property;64;none;rent;1;unskilled - resident;0 to 2;no;no;good
less than 0 DM;24;no credits taken or all credits paid back duly;furniture or equipment;5084;more than 1000 DM; more than  7 yrs;25 between 35;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;42;none;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;9;all credits at this bank paid back duly;car (used);2406;unknown or no savings account;unemployed;25 between 35;male : married or widowed;none;4 between 7 yrs;building soc. savings agr. or life insurance;31;none;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;36;no credits taken or all credits paid back duly;furniture or equipment;2394;more than 1000 DM;1 between 4 yrs; less than  20;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;25;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;21;no credits taken or all credits paid back duly;car (new);2476;more than 1000 DM; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;unknown  or  no property;46;none;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
no checking account;24;no credits taken or all credits paid back duly;car (new);2964;more than 1000 DM; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;real estate;49;bank;own;1;skilled employee or official;3 or more;yes;no;good
no checking account;12;no credits taken or all credits paid back duly;car (used);1262;more than 1000 DM; more than  7 yrs;25 between 35;male : divorced or separated;none; more than  7 yrs;car or other;49;none;rent;1;unskilled - resident;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;12;no credits taken or all credits paid back duly;retraining;1542;unknown or no savings account;4 between 7 yrs;25 between 35;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;36;none;rent;1;skilled employee or official;0 to 2;yes;no;good
less than 0 DM;24;all credits at this bank paid back duly;furniture or equipment;1743;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;car or other;48;none;rent;3-Feb;unskilled - resident;0 to 2;no;no;good
between 0 and 200 DM;12;critical account or other credits elsewhere;furniture or equipment;409;500 between 1000 DM;1 between 4 yrs;20 between 25;female : non-single or male : single;none;4 between 7 yrs;unknown  or  no property;42;none;for free;3-Feb;skilled employee or official;0 to 2;no;no;good
